MRN_1	EC_FirstName	EC_LastName	EC_PhoneNumber	EC_Zipcode	EC_Relationship
1	Katherine	Taylor	222-222-2222	22182	SPO
2	Elizabeth	Smith	333-333-3333	10014	KID
3	Andrew	Taylor	444-444-4444	10022	SIB
4	Marie	Taylor	555-555-5555	10023	SIB
5	Katherine	Taylor	222-222-2222	22182	MO
6	Elizabeth	Smith	333-333-3333	10014	SPO
7	Ben	Smith	666-666-6666	10014	KID
8	Rebecca	Smith	777-777-7777	22181	SPO
9	Ben	Smith	666-666-6666	10014	SIB
10	Rebecca	Smith	777-777-7777	22181	AU
11	Stephen	Taylor	111-111-1111	22182	Son
12	Matthew	Taylor	444-555-6666	11777	Son
13	John	Taylor	111-222-3333	32931	Father
14	Matthew	Taylor	444-555-6666	11777	Father
15	Carolyn	Taylor	333-444-5555	11776	Mother
16	Matthew	Taylor	444-555-6666	11777	Uncle
17	John	Taylor	111-222-3333	32931	Grandfather
21	Marge	Simpson	555-111-1111	90210	Mother
